domain_group,mean_nostalgia,sum_nostalgia,mean_proportion
L03,33.298,33298,0.02671223959962695
CT05,30.942,30942,0.02618598216882466
CT03,29.512,29512,0.025279809726628258
CT02,27.481,27481,0.024133534708441463
L05,26.12,26120,0.027033550259953687
R05,24.506,24506,0.027168917891904957
CT04,24.172,24172,0.024827738660314565
L01,23.942,23942,0.02466136978159881
CT01,23.687,23687,0.026007627823753186
R03,22.774,22774,0.025717930988015846
R01,21.183,21183,0.023936854649460767
LB00,20.208,20208,0.02370050101407699
